f,o,c,code
1,0,0,SF
0.9,0.1,0,SF
0.9,0,0.1,SF
0.8,0.2,0,EO
0.8,0.1,0.1,SF
0.8,0,0.2,LC
0.7,0.3,0,EO
0.7,0.2,0.1,EO
0.7,0.1,0.2,LC
0.7,0,0.3,LC
0.6,0.4,0,SM
0.6,0.3,0.1,EO
0.6,0.2,0.2,CQ
0.6,0.1,0.3,LC
0.6,0,0.4,LC
0.5,0.5,0,SP
0.5,0.4,0.1,SP
0.5,0.3,0.2,CQ
0.5,0.2,0.3,CQ
0.5,0.1,0.4,SM
0.5,0,0.5,SM
0.4,0.6,0,SP
0.4,0.5,0.1,SP
0.4,0.4,0.2,SP
0.4,0.3,0.3,PB
0.4,0.2,0.4,SM
0.4,0.1,0.5,SM
0.4,0,0.6,SM
0.3,0.7,0,CM
0.3,0.6,0.1,CM
0.3,0.5,0.2,MS
0.3,0.4,0.3,PB
0.3,0.3,0.4,PB
0.3,0.2,0.5,CE
0.3,0.1,0.6,FC
0.3,0,0.7,FC
0.2,0.8,0,GO
0.2,0.7,0.1,GO
0.2,0.6,0.2,MS
0.2,0.5,0.3,MS
0.2,0.4,0.4,CM
0.2,0.3,0.5,CQ
0.2,0.2,0.6,CQ
0.2,0.1,0.7,FC
0.2,0,0.8,FC
0.1,0.9,0,SO
0.1,0.8,0.1,SO
0.1,0.7,0.2,LP
0.1,0.6,0.3,LP
0.1,0.5,0.4,CM
0.1,0.4,0.5,CM
0.1,0.3,0.6,MC
0.1,0.2,0.7,MC
0.1,0.1,0.8,SC
0.1,0,0.9,SC
0,1,0,SO
0,0.9,0.1,SO
0,0.8,0.2,LP
0,0.7,0.3,LP
0,0.6,0.4,CM
0,0.5,0.5,CM
0,0.4,0.6,CM
0,0.3,0.7,MC
0,0.2,0.8,MC
0,0.1,0.9,SC
0,0,1,SC
